date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Oct%202024%2018:43:27%20GMT	http://sistemadulino.com.br/media/academies/maker.svg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/academies/maker.svg	(from https://sistemadulino.com.br/)
15:44:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Oct%202024%2018:43:28%20GMT	http://sistemadulino.com.br/media/academies/game.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/academies/game.jpg	(from https://sistemadulino.com.br/)
15:44:23	59687/59687	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22media/academies/maker.bb0627ccc7.svg%22	https://sistemadulino.com.br/media/academies/maker.svg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/academies/maker.svg	(from https://sistemadulino.com.br/)
15:44:23	17782/17782	---M--	200	added ('OK')	image/jpeg	etag:%22media/academies/game.0cf721c219.jpg%22	https://sistemadulino.com.br/media/academies/game.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/academies/game.jpg	(from https://sistemadulino.com.br/)
15:44:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Oct%202024%2018:43:29%20GMT	http://sistemadulino.com.br/media/academies/robotics.svg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/academies/robotics.svg	(from https://sistemadulino.com.br/)
15:44:25	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Oct%202024%2018:43:30%20GMT	http://sistemadulino.com.br/media/academies/english.svg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/academies/english.svg	(from https://sistemadulino.com.br/)
15:44:25	53711/53711	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22media/academies/robotics.ce6d9763b1.svg%22	https://sistemadulino.com.br/media/academies/robotics.svg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/academies/robotics.svg	(from https://sistemadulino.com.br/)
15:44:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Oct%202024%2018:43:30%20GMT	http://sistemadulino.com.br/media/inclusionAcademy/inclusion.jpeg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/inclusionAcademy/inclusion.jpeg	(from https://sistemadulino.com.br/)
15:44:26	41671/41671	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22media/academies/english.326def9ecf.svg%22	https://sistemadulino.com.br/media/academies/english.svg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/academies/english.svg	(from https://sistemadulino.com.br/)
15:44:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Oct%202024%2018:43:32%20GMT	http://sistemadulino.com.br/media/methodology/metodologiaHome.png	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/methodology/metodologiaHome.png	(from https://sistemadulino.com.br/)
15:44:28	523772/523772	---M--	200	added ('OK')	image/jpeg	etag:%22media/inclusionAcademy/inclusion.e63f33da4d.jpeg%22	https://sistemadulino.com.br/media/inclusionAcademy/inclusion.jpeg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/inclusionAcademy/inclusion.jpg	(from https://sistemadulino.com.br/)
15:44:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Oct%202024%2018:43:34%20GMT	http://sistemadulino.com.br/media/footer/dulino-completo.png	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/footer/dulino-completo.png	(from https://sistemadulino.com.br/)
